Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
420010,SC,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
420011,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Not Available
420015,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
420018,SC,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
420019,SC,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Not Available,Same as the national average,Not Available
420020,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
420023,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
420026,SC,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
420027,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
420030,SC,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
420033,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
420036,SC,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
420037,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
420038,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
420043,SC,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
420048,SC,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
420049,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
420051,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
420053,SC,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
420055,SC,Acute Care Hospitals,Government - State,Yes,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
420057,SC,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
