,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
4446,450352,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1989,16.3,15.3,17.4,2,3,3,3,2,3,4,4
4447,450358,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,9887,15,14.4,15.6,4,3,3,3,4,3,4,3
4450,450372,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1987,15.2,14.2,16.2,4,4,3,4,3,4,5,3
4452,450388,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,No Different Than the National Rate,14163,15.7,15.3,16.3,3,3,3,3,3,3,3,3
4453,450389,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1249,15.2,14,16.3,3,3,4,4,4,4,4,4
4454,450395,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,430,14.9,13.4,16.6,4,4,4,2,3,4,4,4
4457,450403,TX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2466,16.7,15.6,17.7,4,3,3,3,3,4,4,3
4461,450424,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2257,15.8,14.8,16.8,3,3,3,3,2,3,3,3
4462,450431,TX,Acute Care Hospitals,Proprietary,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,No Different Than the National Rate,6963,15.2,14.5,15.9,4,3,4,4,3,4,4,4
4463,450447,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,504,14.6,13.2,16.2,2,3,3,2,4,4,4,3
4466,450462,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,5209,14.1,13.4,15.3,3,2,2,3,3,3,3,3
4467,450465,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,405,15.9,14.4,17.5,3,4,4,2,2,3,3,2
4468,450469,TX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1210,14.7,13.7,16,2,2,3,3,2,2,3,3
4469,450475,TX,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,332,15.2,13.6,16.9,5,4,5,4,4,4,5,3
4470,450484,TX,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1511,15.3,14.3,16.4,2,2,2,2,3,3,3,3
4473,450508,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,773,15.5,14.3,16.8,3,1,3,4,2,2,4,3
4474,450518,TX,Acute Care Hospitals,Physician,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1228,14.9,13.8,16.2,1,1,1,1,2,2,4,2
4475,450537,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2715,15.7,14.7,16.6,3,4,2,3,3,3,3,3
4476,450539,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,467,15.6,14.1,17.3,2,3,3,3,3,4,5,4
4477,450558,TX,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1551,15.3,14.2,16.5,2,3,3,3,3,3,4,3
4478,450563,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,3089,15.8,14.8,16.7,3,3,3,3,3,4,4,3
4480,450571,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,3785,15.2,14.4,16.1,4,3,4,3,4,4,4,3
4485,450587,TX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,835,15.5,14.1,16.9,3,4,3,3,4,4,4,3
4486,450596,TX,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1059,14.4,13.1,15.8,2,2,3,2,2,4,4,3
